tradingDate,open,high,low,close,volume
2023-09-15,68.63,69.0,60.75,60.75,74753091.0
2023-09-18,57.95,58.74,55.02,58.0,34571903.0
2023-09-19,56.25,56.78,53.88,55.17,18308644.0
2023-09-20,55.17,55.4,51.52,52.91,16369470.0
2023-09-21,51.78,52.8,49.85,52.16,15010920.0
2023-09-22,52.9,52.9,50.35,51.32,8430168.0
2023-09-25,51.12,54.5,50.02,54.44,12896541.0
2023-09-26,53.93,54.53,52.7,53.52,6283544.0
2023-09-27,54.4,54.41,51.79,52.99,6866740.0
2023-09-28,53.5,56.5,52.86,55.49,8765755.0
2023-09-29,56.21,56.79,53.08,53.52,7810025.0
2023-10-02,53.48,54.19,51.91,52.26,8857088.0
2023-10-03,51.96,52.24,50.8,51.57,4687735.0
2023-10-04,51.97,53.81,51.31,53.46,6206459.0
2023-10-05,53.9,53.9,52.09,52.51,2984420.0
2023-10-06,52.72,54.21,51.55,54.08,4009236.0
2023-10-09,54.4,55.8,53.37,54.25,7197706.0
2023-10-10,55.24,55.86,54.2,55.71,5138144.0
2023-10-11,56.17,56.33,54.38,54.68,4454722.0
2023-10-12,54.75,54.75,51.41,51.85,7323145.0
2023-10-13,52.5,52.56,50.0,50.78,6462484.0
2023-10-16,51.04,52.35,51.04,52.09,3316789.0
2023-10-17,51.0,52.76,50.65,52.29,2549709.0
2023-10-18,52.28,52.7,51.28,51.9,2268871.0
2023-10-19,52.0,52.7,49.53,49.74,4553360.0
2023-10-20,49.74,49.74,46.5,47.87,8089129.0
2023-10-23,47.22,51.88,46.5,50.21,9979286.0
2023-10-24,52.0,52.89,51.05,52.37,7211721.0
2023-10-25,52.7,52.79,49.31,49.44,4518810.0
2023-10-26,50.06,51.11,49.5,50.17,3555300.0
2023-10-27,51.26,51.33,48.81,49.09,2611336.0
2023-10-30,49.51,49.9,47.28,47.9,3677661.0
2023-10-31,47.9,49.66,47.12,49.29,3248684.0
2023-11-01,49.61,50.52,48.3,50.52,3066410.0
2023-11-02,51.4,53.56,51.3,52.82,4752687.0
2023-11-03,52.82,53.86,52.25,53.49,2545035.0
2023-11-06,53.98,54.46,52.52,53.1,2328270.0
2023-11-07,53.45,56.1,53.26,55.27,4534176.0
2023-11-08,55.27,55.56,53.39,54.4,6128231.0
2023-11-09,51.0,52.05,49.82,51.58,15354467.0
2023-11-10,52.0,52.5,51.01,52.27,5803942.0
2023-11-13,52.2,52.5,50.57,51.69,4524968.0
2023-11-14,53.0,53.5,52.28,53.43,3541284.0
2023-11-15,54.4,56.03,54.08,55.43,5821817.0
2023-11-16,55.51,55.68,53.47,54.23,3291412.0
2023-11-17,55.11,55.74,54.26,54.99,3443898.0
2023-11-20,55.35,59.24,55.27,58.68,7808006.0
2023-11-21,58.0,58.9,56.43,58.66,5615415.0
2023-11-22,59.0,64.92,59.0,61.76,15119683.0
2023-11-24,61.5,64.2,61.41,63.88,6004929.0
2023-11-27,63.05,63.69,60.99,61.0,6681872.0
2023-11-28,60.84,62.68,60.79,61.92,4106892.0
2023-11-29,62.52,63.41,61.69,62.21,3642374.0
2023-11-30,62.58,63.5,60.91,61.5,4833273.0
2023-12-01,61.51,64.43,60.91,63.9,5446185.0
2023-12-04,63.9,63.9,60.8,61.93,5012171.0
2023-12-05,61.73,64.35,60.37,63.59,6666904.0
2023-12-06,64.35,64.69,60.89,61.06,5434419.0
2023-12-07,61.52,62.97,61.2,62.44,3139112.0
2023-12-08,62.44,67.44,62.24,67.23,18815931.0
2023-12-11,67.26,67.26,64.29,64.89,7625495.0
2023-12-12,65.0,66.25,63.28,64.71,5711703.0
2023-12-13,65.41,66.5,62.75,65.61,7023954.0
2023-12-14,66.52,71.79,66.37,70.74,11835036.0
2023-12-15,70.5,71.89,69.29,71.03,7058443.0
2023-12-18,69.96,70.09,68.02,68.87,4744779.0
2023-12-19,69.23,70.55,68.81,69.43,3899291.0
2023-12-20,69.5,72.99,68.38,68.4,8177594.0
2023-12-21,70.0,71.95,69.3,71.2,5407601.0
2023-12-22,72.0,73.44,71.48,72.29,5763862.0
2023-12-26,73.27,74.0,71.76,73.41,4046596.0
2023-12-27,74.5,74.76,73.41,74.25,3802038.0
2023-12-28,74.79,78.35,74.5,77.47,9176899.0
2023-12-29,78.36,78.66,74.6,75.15,11178334.0
2024-01-02,73.5,73.52,68.24,68.92,9770966.0
2024-01-03,67.07,68.5,65.11,67.91,7858160.0
2024-01-04,68.99,69.6,67.14,68.39,5757570.0
2024-01-05,69.12,70.39,66.52,67.05,7356637.0
2024-01-08,67.76,73.18,67.52,72.84,9303504.0
2024-01-09,72.8,72.98,70.91,71.88,5982003.0
2024-01-10,73.0,74.38,69.86,70.77,7450639.0
2024-01-11,71.67,71.87,68.19,69.77,6396114.0
2024-01-12,70.85,70.91,69.01,70.0,4025998.0
2024-01-16,70.0,70.0,67.55,68.48,7090256.0
2024-01-17,68.0,69.96,66.66,69.86,7209106.0
2024-01-18,72.0,74.8,71.41,74.23,11287498.0
2024-01-19,75.07,78.97,74.43,78.58,9956491.0
2024-01-22,78.58,79.94,76.5,77.11,7697443.0
2024-01-23,77.0,77.59,75.46,76.35,4052530.0
2024-01-24,77.2,77.67,74.8,75.74,6972177.0
2024-01-25,76.49,79.65,73.26,73.91,8817139.0
2024-01-26,73.14,73.89,70.8,71.17,7077097.0
2024-01-29,72.0,72.95,71.2,72.93,4318120.0
2024-01-30,73.5,74.15,70.85,71.97,4056633.0
2024-01-31,70.66,72.54,69.62,70.67,5087257.0
2024-02-01,71.87,72.55,69.32,70.52,3476065.0
2024-02-02,71.1,71.95,70.0,71.0,4298876.0
2024-02-05,71.99,74.28,71.6,73.27,7258066.0
2024-02-06,75.0,75.45,71.8,72.98,6899507.0
2024-02-07,73.07,77.71,72.25,77.01,22802796.0
2024-02-08,94.41,126.59,94.0,113.89,106505653.0
2024-02-09,105.99,117.82,102.09,115.21,48096528.0
2024-02-12,120.16,164.0,118.69,148.97,111349666.0
2024-02-13,128.12,137.5,117.0,119.98,68563880.0
2024-02-14,133.81,134.84,121.02,126.4,42519550.0
2024-02-15,131.0,135.0,123.51,133.68,34996642.0
2024-02-16,129.5,135.98,123.05,128.34,26122331.0
2024-02-20,123.78,123.8,115.49,121.77,21117308.0
2024-02-21,117.76,125.5,116.81,123.39,22418082.0
2024-02-22,132.87,138.5,128.51,128.53,29492398.0
2024-02-23,129.1,136.0,128.86,133.34,20317049.0
2024-02-26,139.0,149.92,138.18,146.2,26547871.0
2024-02-27,144.91,147.33,137.0,137.95,17481267.0
2024-02-28,136.15,136.29,131.31,133.86,9682632.0
2024-02-29,136.28,141.22,135.45,141.04,10300023.0
2024-03-01,141.48,144.98,139.04,141.62,9856913.0
2024-03-04,145.39,148.48,137.75,138.01,14294988.0
2024-03-05,135.5,136.37,130.0,134.07,9116025.0
2024-03-06,138.09,139.34,133.26,136.99,9063327.0
2024-03-07,140.0,146.54,138.81,140.85,14358584.0
2024-03-08,139.69,142.9,131.2,131.48,14132452.0
2024-03-11,126.6,130.74,124.12,126.74,10174794.0
2024-03-12,125.0,129.99,121.38,129.5,18220618.0
2024-03-13,129.0,132.7,125.8,131.27,9097646.0
2024-03-14,130.13,136.29,127.59,130.96,10070935.0
2024-03-15,128.71,134.2,126.12,126.97,8880494.0
2024-03-18,128.17,132.8,127.73,129.75,6216320.0
2024-03-19,125.5,127.1,121.52,124.59,8135365.0
2024-03-20,126.53,131.98,125.23,131.33,6861505.0
2024-03-21,134.7,137.0,132.01,133.6,7568797.0
2024-03-22,133.81,136.1,132.5,134.15,6999592.0
2024-03-25,137.16,143.75,137.15,138.31,12928867.0
2024-03-26,141.1,145.0,126.91,127.96,21244452.0
2024-03-27,130.0,130.86,122.83,125.62,11317879.0
2024-03-28,125.68,128.32,124.16,124.99,7407193.0
2024-04-01,126.36,128.73,124.64,126.91,5011885.0
2024-04-02,125.2,125.63,121.12,124.28,5042778.0
2024-04-03,123.0,125.98,122.62,125.31,3875999.0
2024-04-04,126.5,127.98,121.82,122.01,5477260.0
2024-04-05,122.6,125.72,120.02,124.82,4537556.0
2024-04-08,124.82,130.5,123.39,129.25,6943866.0
2024-04-09,133.51,135.41,124.5,126.81,12997155.0
2024-04-10,124.99,127.6,123.9,125.18,4974491.0
2024-04-11,126.0,131.2,125.51,131.13,6139066.0
2024-04-12,128.99,130.34,125.37,126.33,4950851.0
2024-04-15,126.2,126.87,120.95,122.32,5003304.0
2024-04-16,122.0,124.24,120.91,122.22,4071531.0
2024-04-17,121.87,122.68,107.01,107.56,19639227.0
2024-04-18,106.32,107.3,102.58,104.92,11961197.0
2024-04-19,100.0,103.01,85.61,87.19,29438997.0
2024-04-22,89.94,94.32,89.06,93.11,15199464.0
2024-04-23,97.32,98.37,95.05,96.04,11212389.0
2024-04-24,102.0,103.75,97.24,99.88,11697822.0
2024-04-25,96.05,99.67,95.5,97.93,6140842.0
2024-04-26,101.4,102.3,98.22,101.95,5651662.0
2024-04-29,102.2,103.4,99.05,103.24,4009208.0
2024-04-30,103.02,105.19,100.85,101.21,3783680.0
2024-05-01,99.98,100.6,95.24,95.29,6090454.0
2024-05-02,98.99,100.3,96.13,98.0,4117395.0
2024-05-03,101.62,104.36,100.45,101.7,5780156.0
2024-05-06,103.82,107.92,103.6,106.98,7489247.0
2024-05-07,109.3,109.69,106.54,107.8,8187311.0
2024-05-08,107.8,109.94,104.65,106.07,15211317.0
2024-05-09,99.27,106.9,97.76,103.59,29441153.0
2024-05-10,106.2,110.37,106.2,108.84,15281029.0
2024-05-13,114.0,117.58,110.86,117.23,16402548.0
2024-05-14,115.82,117.41,114.35,116.65,8046116.0
2024-05-15,118.4,118.5,112.52,113.67,9544257.0
2024-05-16,115.69,116.87,113.89,114.27,6446297.0
2024-05-17,115.6,115.68,109.61,110.35,7523269.0
2024-05-20,111.0,111.33,108.69,110.46,5260806.0
2024-05-21,110.0,115.78,109.5,114.77,10468845.0
2024-05-22,115.01,117.36,111.65,112.43,8406909.0
2024-05-23,117.0,117.33,110.38,112.53,8450553.0
2024-05-24,112.77,115.56,111.6,114.64,4735978.0
2024-05-28,115.46,125.98,115.32,124.94,16202680.0
2024-05-29,123.7,123.7,119.05,120.65,8166773.0
2024-05-30,121.8,123.5,117.77,120.73,6809687.0
